price,bed,bath,carport,surface_area(m2),building_area(m2),location
3100000000.0,5,3,1,146.0,290.0,0
598000000.0,2,1,1,90.0,40.0,3
205000000.0,1,1,1,60.0,23.0,3
675000000.0,2,1,1,85.0,45.0,0
495000000.0,3,1,1,141.0,60.0,0
475000000.0,3,2,1,101.0,70.0,0
500000000.0,2,1,1,97.0,55.0,0
299000000.0,2,1,1,88.0,36.0,3
585000000.0,3,1,1,111.0,55.0,3
250000000.0,2,1,1,88.0,36.0,3
1000000000.0,7,3,1,112.0,224.0,3
585000000.0,3,1,1,111.0,55.0,3
590000000.0,2,1,1,85.0,55.0,4
775000000.0,3,2,2,113.0,85.0,3
775000000.0,3,2,2,113.0,85.0,3
2320000000.0,4,3,2,213.0,135.0,3
4250000000.0,3,3,6,425.0,150.0,4
790000000.0,3,2,1,75.0,70.0,0
1400000000.0,3,2,4,205.0,80.0,4
800000000.0,4,2,1,107.0,165.0,0
950000000.0,3,2,1,150.0,90.0,0
750000000.0,3,2,2,81.0,70.0,0
2340000000.0,4,3,1,184.0,135.0,3
1700000000.0,3,2,1,118.0,140.0,0
2400000000.0,4,3,1,403.0,220.0,4
1100000000.0,3,2,1,187.0,150.0,3
750000000.0,3,2,2,81.0,70.0,0
950000000.0,4,4,1,90.0,62.0,0
1700000000.0,3,2,1,118.0,140.0,0
1300000000.0,6,5,1,489.0,200.0,3
405000000.0,2,2,1,125.0,95.0,3
950000000.0,2,2,1,109.0,75.0,0
800000000.0,4,2,1,107.0,165.0,0
598000000.0,2,1,1,90.0,40.0,3
950000000.0,2,2,1,109.0,75.0,0
1400000000.0,3,2,4,205.0,80.0,4
695000000.0,2,2,1,100.0,65.0,3
1290000000.0,4,3,1,99.0,105.0,0
350000000.0,2,1,1,80.0,45.0,0
250000000.0,2,1,1,97.0,36.0,0
800000000.0,3,1,1,75.0,70.0,0
695000000.0,2,2,1,100.0,65.0,3
240000000.0,2,1,1,45.0,62.0,0
1290000000.0,4,3,1,99.0,105.0,0
600000000.0,3,1,1,100.0,70.0,3
7700000000.0,4,3,2,289.0,600.0,4
695000000.0,2,2,1,100.0,65.0,4
9987999999.999989,47,47,15,999.7599999999998,961.5999999999917,4
2800000000.0,5,4,1,429.0,225.0,3
790000000.0,3,2,1,113.0,70.0,3
295000000.0,2,1,1,125.0,36.0,3
475000000.0,2,1,1,75.0,55.0,3
780000000.0,3,2,1,115.0,60.0,3
465000000.0,2,1,1,132.0,53.0,3
800000000.0,3,2,1,107.0,100.0,3
4700000000.0,4,3,1,334.0,250.0,3
750000000.0,3,2,1,130.0,60.0,3
2000000000.0,10,10,3,205.0,200.0,3
756000000.0,2,1,2,95.0,57.0,3
400000000.0,2,1,1,90.0,50.0,0
1850000000.0,3,2,2,116.0,110.0,3
835000000.0,3,2,1,102.0,65.0,0
961000000.0,3,3,2,107.0,80.0,3
875000000.0,3,2,1,107.0,70.0,3
2790000000.0,3,3,1,123.0,160.0,3
1700000000.0,4,3,2,200.0,190.0,4
1780000000.0,3,3,1,160.0,210.0,3
1550000000.0,3,2,1,126.0,90.0,3
2700000000.0,3,4,2,110.0,160.0,3
1300000000.0,3,2,1,135.0,120.0,3
1200000000.0,3,2,2,124.0,100.0,3
350000000.0,2,2,1,67.0,67.0,3
155000000.0,2,1,1,88.0,36.0,3
850000000.0,3,1,1,87.0,70.0,4
999000000.0,3,3,2,103.0,100.0,3
4500000000.0,5,4,2,365.0,390.0,3
775000000.0,3,2,2,145.0,80.0,4
550000000.0,2,1,1,108.0,50.0,3
595000000.0,2,1,1,82.0,65.0,4
675000000.0,3,2,1,99.0,75.0,0
897000000.0,3,2,1,107.0,91.0,3
640000000.0,2,1,1,91.0,50.0,3
1100000000.0,4,2,1,154.0,160.0,4
4500000000.0,4,4,3,200.0,170.0,4
1470000000.0,4,3,2,178.0,131.0,4
4750000000.0,4,4,1,309.0,190.0,4
1950000000.0,3,2,1,168.0,130.0,0
1490000000.0,5,4,2,126.0,170.0,4
4900000000.0,6,4,2,545.0,340.0,3
350000000.0,2,2,1,67.0,67.0,3
550000000.0,2,1,1,108.0,50.0,3
1700000000.0,3,2,1,118.0,70.0,0
1100000000.0,2,2,1,112.0,85.0,3
3500000000.0,13,13,3,215.0,260.0,3
1000000000.0,3,2,1,128.0,90.0,3
515000000.0,2,1,1,95.0,45.0,3
2750000000.0,4,5,3,150.0,190.0,3
3490000000.0,5,4,2,426.0,400.0,3
850000000.0,8,6,3,139.0,125.0,3
1750000000.0,4,2,1,128.0,97.0,3
1300000000.0,4,3,1,96.0,180.0,3
775000000.0,2,1,1,136.0,100.0,3
3000000000.0,11,7,1,242.0,400.0,3
4500000000.0,2,3,4,348.0,430.0,3
675000000.0,2,1,1,128.0,100.0,3
1350000000.0,4,3,1,204.0,170.0,0
1970000000.0,5,6,3,160.0,180.0,3
850000000.0,3,3,1,98.0,99.0,3
